ThrowNumber,Time,SensorValue
1,14973,0
1,15003,0
1,15033,0
1,15063,0
1,15093,0
1,15123,0
1,15153,0
1,15183,0
1,15213,0
1,15243,0
1,15273,0
1,15303,0
1,15333,0
1,15363,0
1,15393,0
1,15423,0
1,15453,0
1,15483,0
1,15513,0
1,15543,0
1,15573,67
1,15603,19
1,15633,2
1,15663,70
1,15693,77
1,15723,97
1,15753,720
1,15783,1232
1,15813,2013
1,15843,1768
1,15873,2265
1,15903,2797
1,15933,2519
1,15963,1653
1,15993,1182
1,16023,745
1,16053,538
1,16083,400
1,16113,176
1,16143,144
1,16173,119
1,16203,83
1,16233,45
1,16263,10
1,16293,0
1,16323,0
1,16353,0
1,16383,0
1,16413,0
1,16458,0
1,16488,0
1,16518,0
1,16548,0
1,16578,0
1,16608,0
1,16638,0
1,16668,0
1,16698,0
1,16728,0
1,16758,0
1,16788,0
1,16818,0
1,16848,0
1,16878,0
1,16908,0
1,16938,0
1,16968,0
2,18348,0
2,18378,0
2,18408,0
2,18438,0
2,18468,0
2,18498,0
2,18528,0
2,18558,0
2,18588,0
2,18618,0
2,18648,0
2,18678,0
2,18708,0
2,18738,0
2,18768,0
2,18798,0
2,18828,0
2,18858,0
2,18888,0
2,18918,0
2,18948,0
2,18978,0
2,19008,0
2,19038,0
2,19068,0
2,19098,0
2,19128,0
2,19158,0
2,19188,0
2,19218,0
2,19248,0
2,19278,0
2,19308,0
2,19338,0
2,19368,0
2,19398,0
2,19428,0
2,19458,0
2,19503,0
2,19533,0
2,19563,0
2,19593,0
2,19623,0
2,19653,0
2,19683,0
2,19713,0
2,19743,0
2,19773,0
2,19803,0
2,19833,0
2,19863,0
2,19893,0
2,19923,0
2,19953,0
2,19983,0
2,20013,0
2,20058,0
2,20088,0
2,20118,0
2,20148,0
2,20178,0
2,20208,0
2,20238,0
2,20268,0
2,20298,0
2,20328,0
2,20358,0
2,20388,20
2,20418,0
2,20448,117
2,20478,102
2,20508,176
2,20553,85
2,20598,82
2,20628,143
2,20658,583
2,20688,832
2,20719,813
2,20749,867
2,20779,1301
2,20809,3879
2,20839,3888
2,20869,3875
2,20899,2355
2,20929,1475
2,20959,803
2,20989,522
2,21019,320
2,21049,165
2,21079,75
2,21109,17
2,21139,37
2,21169,33
2,21199,66
2,21229,13
2,21259,0
2,21289,0
2,21319,0
2,21349,0
2,21379,0
2,21409,0
2,21439,0
2,21469,0
2,21499,0
2,21529,0
2,21559,0
2,21604,0
2,21634,0
2,21664,0
2,21694,0
2,21724,0
2,21754,0
2,21784,0
2,21814,0
2,21844,0
2,21874,0
2,21904,0
2,21934,0
2,21964,0
3,22174,0
3,22204,0
3,22234,0
3,22264,0
3,22294,0
3,22324,0
3,22354,0
3,22384,0
3,22414,0
3,22444,0
3,22474,0
3,22504,0
3,22534,0
3,22564,0
3,22594,0
3,22624,0
3,22654,0
3,22684,0
3,22714,0
3,22744,0
3,22774,0
3,22804,0
3,22834,0
3,22864,0
3,22894,0
3,22924,0
3,22954,0
3,22984,0
3,23014,0
3,23044,0
3,23074,0
3,23104,0
3,23134,0
3,23164,0
3,23194,0
3,23224,0
3,23254,0
3,23284,0
3,23314,0
3,23344,0
3,23389,0
3,23419,0
3,23449,0
3,23479,0
3,23524,0
3,23554,0
3,23584,0
3,23614,0
3,23644,0
3,23674,0
3,23704,0
3,23734,0
3,23764,0
3,23794,0
3,23824,0
3,23854,0
3,23884,0
3,23914,0
3,23944,0
3,23989,0
3,24019,0
3,24049,0
3,24079,0
3,24109,0
3,24139,0
3,24169,0
3,24199,0
3,24229,0
3,24259,0
3,24289,108
3,24319,627
3,24349,749
3,24379,386
3,24409,240
3,24439,131
3,24469,51
3,24499,207
3,24529,222
3,24559,680
3,24589,1197
3,24619,1500
3,24649,2559
3,24679,3887
3,24709,3889
3,24739,3872
3,24769,2723
3,24799,1872
3,24829,992
3,24859,851
3,24889,857
3,24934,687
3,24964,665
3,24994,376
3,25024,233
3,25054,115
3,25084,55
3,25114,12
3,25144,0
3,25189,0
3,25219,0
3,25249,0
3,25279,0
3,25309,0
3,25339,0
3,25369,0
3,25399,0
3,25429,0
3,25459,0
3,25489,0
3,25519,0
3,25549,0
3,25579,0
3,25609,0
3,25639,0
3,25669,0
3,25699,0
3,25729,0
3,25759,0
3,25789,0
4,25819,0
4,25849,0
4,25879,0
4,25909,0
4,25939,0
4,25969,0
4,25999,0
4,26029,0
4,26059,0
4,26089,0
4,26119,0
4,26149,0
4,26179,0
4,26209,0
4,26239,0
4,26269,0
4,26299,0
4,26329,0
4,26359,0
4,26389,0
4,26419,0
4,26449,0
4,26479,0
4,26509,0
4,26539,0
4,26569,0
4,26599,3
4,26629,0
4,26659,0
4,26689,0
4,26719,0
4,26749,0
4,26779,0
4,26809,0
4,26839,0
4,26869,0
4,26899,0
4,26929,0
4,26959,0
4,26989,0
4,27019,0
4,27049,0
4,27079,0
4,27124,0
4,27154,0
4,27184,0
4,27214,2
4,27244,167
4,27274,177
4,27304,1343
4,27334,958
4,27364,565
4,27394,256
4,27424,144
4,27454,102
4,27499,368
4,27529,1391
4,27559,2159
4,27589,2058
4,27619,3863
4,27649,3871
4,27679,2421
4,27709,2076
4,27739,1214
4,27769,973
4,27799,605
4,27829,399
4,27859,326
4,27889,128
4,27919,139
4,27949,81
4,27979,0
4,28009,7
4,28039,11
4,28069,1
4,28099,0
4,28129,0
4,28159,0
4,28189,0
4,28219,0
4,28249,0
4,28279,0
4,28309,0
4,28339,0
4,28369,0
4,28399,0
4,28429,0
4,28459,0
4,28489,0
